,Entropy
0,9.315954368911125
1,9.334037366681592
2,9.274026385988853
3,9.28556539535655
4,9.225866804705422
5,9.353287637012142
6,9.428644485093168
7,9.238744318777098
8,9.430883829544921
9,9.231075546949505
10,9.213147011070939
11,9.280509610543819
12,9.226906323479556
13,9.075432840214711
14,9.290295842424856
15,9.308867966426106
16,9.267569477870834
17,9.285101865681188
18,9.33835627176755
19,9.298378695705994
20,9.287149097559427
21,9.460767182713445
22,9.253264962618712
23,9.376983070064048
