,Entropy
0,6.4995685350620205
1,6.460195789940515
2,6.4559384217009415
3,6.470279786748809
4,6.460331349672411
5,6.4899112636693435
6,6.483554667520002
7,6.44837800190606
8,6.477647498432759
9,6.470275759785928
10,6.469432367456706
11,6.468837537868832
12,6.4467541223326865
13,6.424686004615091
14,6.406958402979679
15,6.462205818140559
16,6.472695278038384
17,6.469168181631789
18,6.442509814287665
19,6.484455356786272
20,6.50449666971833
21,6.458967321542993
22,6.47194007901697
23,6.45976877609785
24,6.487569745559759
25,6.429509829531043
26,6.42167410464003
27,6.439339834745558
28,6.4486332700257005
29,6.432694806963063
30,6.409190336840653
31,6.433099433237732
32,6.456378550001588
33,6.474138355457839
34,6.4377381770842685
35,6.419287021436835
36,6.398702775448931
37,6.420799116929924
38,6.433880548629688
39,6.4400674785943055
40,6.422577448843721
41,6.421325880233341
42,6.4526959703713676
43,6.4964719060401315
44,6.453112498989345
45,6.432767771746581
46,6.46792163916747
47,6.448524004449587
48,6.486115262537897
