,MessageID,MessageType,MessageTimeLeft,MessageTimeReceived,MessageDelay,MessageRoute,MessageTarget
894,36_15,Real,10.5654650351552,17.8042196516443,"[0.026624182721404786, 0.2939721975009354, 0]","[Client id: 36, ( id: 9, corrupt: False ), Client id: 42]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
895,9_8,Real,6.063568666444649,17.8042196516443,"[0.8076832180902085, 0.044825586626188185, 0]","[Client id: 9, ( id: 9, corrupt: False ), Client id: 4]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
896,15_4,Real,6.7426106517324484,17.8042196516443,"[0.17482706508484624, 0.584896153708141, 0]","[Client id: 15, ( id: 9, corrupt: False ), Client id: 79]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
897,32_12,Real,14.950450123936115,17.8042196516443,"[1.3074239068377378, 1.5192100850337065, 0]","[Client id: 32, ( id: 9, corrupt: False ), Client id: 99]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
898,95_9,Real,3.803989223821037,17.8042196516443,"[0.0673107737367317, 1.0679674801337833, 0]","[Client id: 95, ( id: 9, corrupt: False ), Client id: 99]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
899,19_13,Real,14.329712041083214,17.8042196516443,"[0.9359388654767056, 0.6327556277073084, 0]","[Client id: 19, ( id: 9, corrupt: False ), Client id: 72]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
900,44_20,Real,12.098541578221024,17.82009509259375,"[0.3641167935675545, 1.0944506785497405, 0]","[Client id: 44, ( id: 10, corrupt: False ), Client id: 88]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
901,74_18,Real,17.21095637671165,17.82009509259375,"[0.5472466856176347, 1.4769910751959725, 0]","[Client id: 74, ( id: 10, corrupt: False ), Client id: 87]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
902,37_14,Real,11.505921175419546,17.82009509259375,"[1.8729875688976985, 1.6151039048355176, 0]","[Client id: 37, ( id: 10, corrupt: False ), Client id: 27]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
903,91_2,Real,0.5908044598588309,17.82009509259375,"[0.2052093309374829, 0.23400502026859374, 0]","[Client id: 91, ( id: 10, corrupt: False ), Client id: 81]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
904,92_13,Real,7.545829185070815,17.82009509259375,"[0.5114149952604151, 3.3492982403408567, 0]","[Client id: 92, ( id: 10, corrupt: False ), Client id: 84]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
905,87_11,Real,4.247012942278213,17.82009509259375,"[1.004242745065996, 1.1213001574777801, 0]","[Client id: 87, ( id: 10, corrupt: False ), Client id: 31]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
906,94_12,Real,12.357276034900782,17.82009509259375,"[2.0884850685643577, 0.7075474382365552, 0]","[Client id: 94, ( id: 10, corrupt: False ), Client id: 85]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
907,40_10,Real,10.619185735702656,17.82009509259375,"[0.21189013080993793, 0.47234867129848196, 0]","[Client id: 40, ( id: 10, corrupt: False ), Client id: 57]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
908,71_26,Real,14.750042219684001,17.82009509259375,"[0.08676847881126235, 1.6731439809313402, 0]","[Client id: 71, ( id: 10, corrupt: False ), Client id: 36]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
909,52_3,Real,1.9462855373438401,17.82009509259375,"[1.4917466113565436, 0.08919705544208074, 0]","[Client id: 52, ( id: 10, corrupt: False ), Client id: 81]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
