,Entropy
0,10.665497818616933
1,10.46798029491528
2,10.758790350435989
3,10.722690151203592
4,10.787759645188666
5,10.591189403564643
6,10.718770598784229
7,10.746124881897462
8,10.762771069929826
9,10.738380455691138
10,10.40123717891628
11,10.677847416256862
12,10.657426119013879
13,10.539245944345831
14,10.431727073286078
15,10.71367141751844
16,10.674420309602782
17,10.680996745741957
18,10.624479810104562
19,10.28297077433463
20,10.40325328481838
21,10.791612400184642
22,10.35550854232869
23,10.712896478965803
24,10.769266614692182
25,10.707575315054436
26,10.637462308439826
27,10.814410153662973
28,10.741394770759962
29,10.217516506529611
30,10.803034543635048
31,10.355290350912421
32,10.66997378212355
33,10.715881871145498
34,10.406894303409837
35,10.712814681600037
36,10.726827171270353
37,10.689487867404853
38,10.76019981502051
39,10.593587815833445
40,10.243394865718184
41,10.545642108820575
42,10.756286790804184
43,10.539578645747408
44,10.572113065537646
45,10.744583455715562
46,10.203183598456386
47,10.738319796625309
48,10.632571144319055
