,Entropy
0,5.3219280948873715
1,0.0
2,0.0
3,5.3219280948873715
4,0.0
5,5.3219280948873715
6,0.0
7,5.3219280948873715
8,0.0
9,5.3219280948873715
10,0.0
11,0.0
12,5.3219280948873715
13,5.3219280948873715
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,5.3219280948873715
22,5.3219280948873715
23,5.3219280948873715
24,5.3219280948873715
25,5.3219280948873715
26,0.0
27,5.3219280948873715
28,0.0
29,5.3219280948873715
30,5.3219280948873715
31,0.0
32,5.3219280948873715
33,5.3219280948873715
34,5.3219280948873715
35,5.3219280948873715
36,0.0
37,5.3219280948873715
38,0.0
39,5.3219280948873715
40,5.3219280948873715
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,5.3219280948873715
48,0.0
