,Entropy
0,4.321928094887367
1,4.321928094887367
2,0.0
3,0.0
4,4.321928094887367
5,4.321928094887367
6,4.321928094887367
7,0.0
8,0.0
9,0.0
10,4.321928094887367
11,0.0
12,4.321928094887367
13,0.0
14,4.321928094887367
15,4.321928094887367
16,4.321928094887367
17,4.321928094887367
18,0.0
19,0.0
20,0.0
21,4.321928094887367
22,0.0
23,4.321928094887367
24,4.321928094887367
25,4.321928094887367
26,4.321928094887367
27,4.321928094887367
28,0.0
29,0.0
30,4.321928094887367
31,4.321928094887367
32,4.321928094887367
33,4.321928094887367
34,0.0
35,4.321928094887367
36,4.321928094887367
37,0.0
38,0.0
39,0.0
40,4.321928094887367
41,0.0
42,4.321928094887367
43,0.0
44,0.0
45,0.0
46,4.321928094887367
47,0.0
48,0.0
