,MessageID,MessageType,MessageTimeLeft,MessageDelay,MessageRoute
1379,10_13,Real,13.117053382578687,"[0.5396806997629445, 1.4209236585864506, 0]","[Client id: 10, ( id: 5, corrupt: False ), Client id: 79]"
1380,62_22,Real,13.129146249525277,"[0.3665907730079642, 0.6036061764800641, 0]","[Client id: 62, ( id: 4, corrupt: False ), Client id: 47]"
1381,96_15,Real,13.134717352814745,"[0.8667249712470029, 1.8174275363062848, 0]","[Client id: 96, ( id: 2, corrupt: False ), Client id: 20]"
1382,53_14,Real,13.149330269173378,"[1.348594369962827, 0.7384487619141749, 0]","[Client id: 53, ( id: 1, corrupt: False ), Client id: 87]"
1383,79_14,Real,13.15550575973673,"[0.27479975477468455, 0.22289458547486962, 0]","[Client id: 79, ( id: 10, corrupt: False ), Client id: 22]"
1384,41_19,Real,13.164071205103014,"[0.6098459381949738, 2.246673516128361, 0]","[Client id: 41, ( id: 8, corrupt: False ), Client id: 22]"
1385,47_16,Real,13.168980251689549,"[3.712521367591446, 2.67180558452365, 0]","[Client id: 47, ( id: 4, corrupt: False ), Client id: 38]"
1386,76_15,Real,13.17460974200014,"[0.7027553241169747, 0.9622002461056082, 0]","[Client id: 76, ( id: 8, corrupt: False ), Client id: 48]"
1387,57_12,Real,13.176449638461209,"[1.9025962807490464, 0.4459917342235099, 0]","[Client id: 57, ( id: 3, corrupt: False ), Client id: 88]"
1388,43_14,Real,13.17716270909941,"[0.13272683010322808, 0.6343361024952258, 0]","[Client id: 43, ( id: 7, corrupt: False ), Client id: 53]"
1389,55_18,Real,13.210816385444918,"[0.565194427312016, 3.9359453675010454, 0]","[Client id: 55, ( id: 6, corrupt: False ), Client id: 21]"
1390,44_22,Real,13.223212621691069,"[0.40387339551690815, 1.4916476192061299, 0]","[Client id: 44, ( id: 6, corrupt: False ), Client id: 4]"
1391,78_19,Real,13.236413926816248,"[2.541543054213135, 0.5097027872722376, 0]","[Client id: 78, ( id: 6, corrupt: False ), Client id: 38]"
1392,16_14,Real,13.238040501626767,"[3.231324254183389, 0.7649097938877164, 0]","[Client id: 16, ( id: 2, corrupt: False ), Client id: 48]"
1393,16_15,Real,13.246539571041733,"[0.008499069414967237, 1.9306634370633358, 0]","[Client id: 16, ( id: 4, corrupt: False ), Client id: 55]"
1394,24_4,Real,13.250767351493092,"[2.6250771467788736, 0.4101919876780059, 0]","[Client id: 24, ( id: 1, corrupt: False ), Client id: 38]"
1395,43_15,Real,13.253758642562966,"[0.07659593346355649, 0.02452416374294124, 0]","[Client id: 43, ( id: 4, corrupt: False ), Client id: 51]"
1396,70_13,Real,13.254986469375448,"[0.247844333855592, 0.26151631338689885, 0]","[Client id: 70, ( id: 8, corrupt: False ), Client id: 59]"
1397,70_14,Real,13.256280805845186,"[0.0012943364697387116, 2.3709806703254324, 0]","[Client id: 70, ( id: 10, corrupt: False ), Client id: 54]"
1398,15_14,Real,13.26939123883817,"[0.37046580241352195, 0.1842119975716536, 0]","[Client id: 15, ( id: 3, corrupt: False ), Client id: 49]"
1399,69_8,Real,13.272985112181448,"[1.8323560161018866, 0.1802378540002612, 0]","[Client id: 69, ( id: 7, corrupt: False ), Client id: 34]"
1400,55_19,Real,13.274898552023672,"[0.06408216657875314, 1.4586407103311856, 0]","[Client id: 55, ( id: 9, corrupt: False ), Client id: 63]"
1401,70_15,Real,13.287556623766262,"[0.031275817921076185, 4.05561120262346, 0]","[Client id: 70, ( id: 5, corrupt: False ), Client id: 82]"
1402,82_15,Real,13.295126220571259,"[1.6045624747367595, 0.3434613347467186, 0]","[Client id: 82, ( id: 7, corrupt: False ), Client id: 26]"
1403,82_16,Real,13.304610980366233,"[0.009484759794974148, 0.05116980021831922, 0]","[Client id: 82, ( id: 1, corrupt: False ), Client id: 12]"
1404,69_9,Real,13.31181953928191,"[0.038834427100461574, 1.04817411226737, 0]","[Client id: 69, ( id: 2, corrupt: False ), Client id: 31]"
1405,41_20,Real,13.328281348647769,"[0.16421014354475597, 1.6779023387129004, 0]","[Client id: 41, ( id: 10, corrupt: False ), Client id: 62]"
1406,62_23,Real,13.337708286905793,"[0.2085620373805157, 1.0524441054172777, 0]","[Client id: 62, ( id: 4, corrupt: False ), Client id: 86]"
1407,11_17,Real,13.34348056997841,"[0.4695334624142042, 0.5833591070837415, 0]","[Client id: 11, ( id: 4, corrupt: False ), Client id: 37]"
1408,82_17,Real,13.366639442087513,"[0.06202846172127936, 0.04446113347412236, 0]","[Client id: 82, ( id: 9, corrupt: False ), Client id: 90]"
1409,58_13,Real,13.386205939397826,"[0.7808794485398236, 2.347320401310112, 0]","[Client id: 58, ( id: 7, corrupt: False ), Client id: 16]"
1410,47_17,Real,13.390674773111812,"[0.2216945214222634, 0.5973389202420606, 0]","[Client id: 47, ( id: 2, corrupt: False ), Client id: 13]"
1411,5_11,Real,13.392206714796242,"[1.8171431420852704, 0.9688931394451541, 0]","[Client id: 5, ( id: 2, corrupt: False ), Client id: 7]"
1412,19_12,Real,13.393773175606508,"[1.5974953619520034, 0.5981074558072959, 0]","[Client id: 19, ( id: 7, corrupt: False ), Client id: 8]"
1413,54_17,Real,13.401739171351846,"[0.4515080347895431, 0.04844158546922529, 0]","[Client id: 54, ( id: 4, corrupt: False ), Client id: 83]"
