,Entropy
0,6.032904331467832
1,6.273946758291733
2,6.177056178606761
3,6.32288911455599
4,6.227321857166354
5,6.375023218602536
6,6.308883750343496
7,6.302706905513981
8,6.422191451073785
9,6.28771775803955
10,4.202887262323901
11,6.3006496435000905
12,6.381907942839983
13,6.356429196309207
14,6.257422653159416
15,6.355931046369895
16,6.296855110742598
17,6.281666865579408
18,6.3727020064170965
19,6.270049447693828
20,6.3227088819679516
21,6.378290873656143
22,6.276545719817611
23,6.356727945090956
24,6.366843467569098
25,6.081023719854172
26,6.299910026204221
27,6.31309021496256
28,6.376344636803427
29,6.360635672536351
30,6.35782280405277
31,6.280185103139044
32,6.320159309478609
33,6.349304228571801
34,6.352978110001976
35,6.387315359127288
36,6.339368526019824
37,6.3657748849445595
38,6.3494788459659635
39,6.401955484598787
40,6.327159451334773
41,6.352341754711892
42,6.354125772306764
43,6.422470102141853
44,6.398210911561914
45,6.300146936354415
46,6.184254032474358
47,6.3592889041116365
48,6.423505261966328
